year,B33 6.4983E,Bruce Plateau,DIV2010,DML07,FB97DML05,FB9807,FB9809,FB9814,Ferrigno,Fimbulisen s100,Gomez,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,ITASE-02-1,ITASE-02-4,ITASE-02-7,Jurassic,Law Dome (2015),Mount Johns,NUS07-1,NUS07-2,NUS07-7,NUS08-4,NUS08-5,NUS08-7,Palmer,RIDS-A,Rendezvous,SDM-94,SP01,SP04C5,SPOLE 0EW,THW2010,UP-C,WD05A 112.125W,WDC05A
1937,301.8378,511500.0,13270.4259,1701.739749,1621.559741,583.916,2776.57776,552.8308,30270.0,202968.0,29329.12015,4680.95408,11662.26327,5376.59051,7285.67514,8115.84768,9391.86624,4348.99102,4648.05628,8614.02666,5232.75732,1559.22219,376.992,49657.23799,77512.8882,4353.305282,1511.796,508.368,619.515,405.224,616.79,2077.39,3930.791887,9096.404575,43075.40212,13663.53047,618.4286467,1304.115812,520.517573,7583.5224,6611.868674,4878.185548,327.6595
1938,669.3519,113000.0,18298.968,844.8848055,1228.35155,1232.364,2156.32943,684.3316,40940.0,130199.4,18834.04239,6744.42496,13925.0573,6092.8252,3432.00744,8139.38128,9132.8396,3933.52632,4159.0612,9158.0276,5379.36264,561.55476,760.00625,54330.27076,70881.8661,5071.864888,568.88,516.8,655.749,1130.979,154.179,2497.425,8745.216125,4512.54708,38798.56342,30901.88927,1858.08187,2478.39688,877.4901544,6072.704,8104.659402,5743.224055,4484.8909
1939,640.1625,76800.0,19478.9636,873.3971011,898.857838,1054.748,3355.21445,247.31582,29310.0,48922.0,24217.84417,2818.08567,6932.59422,5404.42695,4545.5052,10246.8696,13849.65375,5229.39347,5208.90776,15669.98832,1974.69144,1430.48176,497.2968,46348.52176,67671.4396,2359.313572,625.56,505.138,612.792,1119.065,531.098,2917.46,12038.50888,2042.902857,37594.19393,26657.59959,1081.379908,690.2600375,1069.3447599,7119.2495,9453.303637,4773.586095,4367.778
1940,1014.1236,90900.0,13740.3078,812.7641021,1341.667168,1513.68,262.938,1079.97098,33390.0,76028.5,35204.02541,4302.0474,7478.92731,6746.02344,2834.2032,9523.36684,9009.9945,10554.54316,5888.59464,15463.09186,4068.30692,1177.81728,576.25475,49737.37629,39722.22355,3793.838299,665.756,437.92,420.66,956.857,734.08,949.55,18329.18586,7318.167073,40898.47742,24334.47117,805.9537728,1408.341307,511.42636085000004,3312.384,6700.338319,2346.859913,2664.8832
1941,1904.628,166400.0,5004.7527,1905.645635,1211.315484,678.64,946.2438,5175.2337,27760.0,38684.3,17234.02042,4160.34899,8795.89974,3243.065,3036.44242,4199.86047,7261.7685,2772.85545,3693.83718,6954.44538,4857.75641,1025.89298,1035.48115,22227.15888,31818.143450000003,9469.311708,910.364,470.288,415.827,852.443,749.879,1121.19,13889.09143,4700.269607,29396.95173,26391.60282,1431.346652,1446.971805,426.18022840000003,6573.6752,15004.98401,2419.182511,4542.109
1942,1005.1658,126100.0,4427.0061,2436.80709,910.9274654,1968.328,2602.85571,1542.14184,33880.0,44177.4,27887.77645,6770.92284,5540.18452,7740.12159,3055.728,6054.53696,9397.47627,4805.54781,4531.50714,14856.50692,2063.18861,1924.86544,1082.24747,106220.2752,44822.946299999996,4676.200034,594.36,678.402,559.035,1061.456,1111.554,563.43,3642.689042,5357.012971,37313.0586,13971.61927,904.0942222,863.9801185,1248.7792725,7687.7391,5115.484978,3268.415803,4387.41
1943,737.6859,1307800.0,13684.5312,1456.036242,1728.758284,1441.056,1121.19777,740.92732,24060.0,322176.4,34541.33086,9002.4066,10145.2494,10461.88465,4120.74288,7003.363,7774.95119,8505.04395,14164.48878,18548.55288,24919.3952,1828.74174,903.60724,59376.29796,47507.77625,1703.121313,850.616,840.276,539.325,670.366,598.216,303.73,26557.68697,5399.015096,42270.99172,18990.828,646.6345522,470.0975474,1156.925569,13365.432,2094.491774,3075.008488,4167.1168
1944,882.4658,119200.0,6846.1234,1342.306872,1378.821211,1130.704,2311.35486,980.91869,30530.0,285995.45,14547.58631,4590.44373,8114.061,5890.84075,9915.20188,5090.31162,8114.75698,3464.00535,2459.81796,7399.12628,15249.13072,951.192,737.45074,28167.1214,50283.961,1881.630712,697.32,617.746,476.118,511.821,906.241,295.54,11178.318,1894.421701,29484.50486,12588.38713,1382.401162,1273.955227,737.282085,4526.4929,32301.89783,3914.127655,3881.8333
1945,646.8336,263200.0,5473.2042,761.3812935,706.7472475,446.896,1317.87697,2029.9819,26210.0,249814.5,9815.459167,4875.73461,6513.06187,6002.39497,11282.49792,5272.25062,3864.05894,2879.71775,2438.38106,21055.94214,7414.99525,1493.35284,1314.36928,21345.708,38718.726,2294.894487,891.748,447.712,538.677,952.01,1264.216,430.29,9039.254716,9300.693035,17204.74322,9536.320962,760.763754,1205.372836,917.84540035,5798.1196,11955.0695,4361.368078,1779.624
1946,1017.9939,181700.0,10678.7106,793.451963,769.9475217,474.776,1260.52773,639.95688,41850.0,154391.2,26031.36994,6440.299,10383.01588,5657.94612,3956.2402,5956.8036,11540.01904,4272.94546,2574.78495,13379.81463,12289.732,1360.5745,666.76213,102871.9977,23853.600250000003,2643.145991,1711.112,454.274,761.643,1277.055,694.046,598.08,9721.827148,3999.881801,38858.89498,8736.796872,738.1930923,749.5267774,1595.8680985,6184.53,11843.87288,4330.56497,4738.608
1947,1107.78,232400.0,11260.4041,770.8000721,1200.535177,841.432,1240.92408,1037.2806,26070.0,73382.4,28116.12008,6189.254,8879.4657,3687.67134,4552.70662,7729.88232,10402.11,7022.37834,5418.625,10317.33631,5583.34272,1079.75165,1019.9021,49919.76078,44292.264800000004,744.9447713,1097.512,677.45,943.218,943.611,387.612,1151.85,19883.21582,4219.157734,40343.5695,10512.64681,1212.670359,2603.529987,1105.55422035,5234.2575,8090.296544,3890.251257,2566.3048
