year,"JRI (Aristarain et al., 2004)",Ferrigno,ITASE-01-3,WD05A 112.125W,ITASE-00-5
1470,-170.87,,,-267.7890476,
1469,-143.02,,,-273.3747368,
1468,-125.75,,,-269.2604762,
1467,-146.69,,,-257.5552632,
1466,-153.645,,,-266.8714286,
1465,-146.89,,,-267.1752632,
1464,-147.355,,,-266.5466667,
1463,-139.81,,,-257.7742105,
1462,-148.695,,,-263.632381,
1461,-150.78,,,-256.7526316,
1460,-147.685,,,-260.6814286,
1459,-146.74,,,-279.8468421,
1458,-160.47,,,-280.3709524,
1457,-162.6,,,-271.5073684,
1456,-154.865,,,-282.7638095,
1455,-152.52,,,-262.9221053,
1454,-157.19,,,-264.7804762,
1453,-158.425,,,-263.0136842,
1452,-174.05,,,-268.1842857,
1451,-151.92,,,-270.1989474,
1450,-156.15,,,-272.3157143,
1449,-157.74,,,-269.5805263,
1448,-152.2,,,-279.8095238,
1447,-155.945,,,-269.6768421,
1446,-159.44,,,-268.7657143,
1445,-151.17,,,-273.1015789,
1444,-150.105,,,-267.7147619,
1443,-141.44,,,-262.3226316,
1442,-146.775,,,-261.5104762,
1441,-142.42,,,-274.3284211,
1440,-137.86,,,-284.4090476,
1439,-151.86,,,-270.7473684,
1438,-138.06,,,-265.1757143,
1437,-157.73,,,-256.3115789,
1436,-164.95,,,-271.9185714,
1435,-158.45,,,-277.8789474,
1434,-154.99,,,-266.352381,
1433,-159.79,,,-255.7778947,
1432,-163.51,,,-261.16,
1431,-153.72,,,-266.8226316,
1430,-151.72,,,-270.2752381,
1429,-148.13,,,-264.2905263,
1428,-150.395,,,-268.5509524,
1427,-177.49,,,-260.0978947,
1426,-180.05,,,-270.2957143,
1425,-165.75,,,-263.3863158,
1424,-140.6,,,-267.5371429,
1423,-164.29,,,-268.4263158,
1422,-182.62,,,-272.3785714,
1421,-146.93,,,-266.4110526,
1420,-153.115,,,-260.4985714,
1419,-127.68,,,-284.6221053,
1418,-146.43,,,-272.2195238,
1417,-149.09,,,-273.9278947,
1416,-150.31,,,-275.0680952,
